main_color,px_color1,px_color2,px_color3
FOREST GREEN/ KHAKI,Green,Tan/Beige,
FOREST/GOLD,Green,Gold,
Female Black,Black,,
Female Blue,Blue,,
Female Green,Green,,
Female Red,Red,,
Female Yellow,Yellow,,
Forest Green,Green,,
GN,Green,,
GOLD,Gold,,
GRAY,Grey,,
GREEN,Green,,
GREEN CAMO,Green,,
GREEN LIME,Green,,
GREY,Grey,,
GREY CAMO,Grey,,
GREY/ BLACK,Grey,Black,
GREY/ CHARCOAL,Grey,,
GREY/ NAVY,Grey,Blue,
GREY/ ROYAL BLUE,Grey,Blue,
GUN METAL,Grey,,
Gold,Gold,,
Granite,Grey,,
Gray,Grey,,
Gray Plaid,Grey,,
Gray/Burgundy,Grey,Red,
Gray/Navy,Grey,Blue,
Gray/Plaid,Grey,,
Gray/White,Grey,White,
Green,Green,,
Green / Forrest,Green,,
Green / Teal,Green,Blue,
Green Bamboo,Green,,
Green Flower,Green,,
Green Lime,Green,,
Green Translucent,Green,,
Grenn,Green,,
Grey,Grey,,
Gun Metal,Grey,,
Gunmetal,Grey,,
HEATHER GREY,Grey,,
HELIO PURPLE,Purple,,
Hot Pink,Pink,,
Hunter Green,Green,,
Indigo Blue,Blue,,
JET BLACK,Black,,
Jean Denim,Blue,,
KELLY GREEN,Green,,
KHAKI,Tan/Beige,,
KHAKI/ BLACK,Tan/Beige,Black,
KHAKI/ BROWN,Tan/Beige,Brown,
KHAKI/ SPRUCE GREEN,Tan/Beige,Green,
KHAKI/BLACK,Tan/Beige,Black,
KHAKI/FOREST GREEN,Tan/Beige,Green,
KHAKI/NAVY,Tan/Beige,Blue,
Khaki,Tan/Beige,,
Khalki,Tan/Beige,,
LAVENDER PURPLE,Purple,,
LIGHT BLUE/ NAVY,Blue,,
LIGHT PINK,Pink,,
LIME GREEN,Green,,
Light Blue,Blue,,
Light Grey,Grey,,
Light Orange,Orange,,
Light Red,Red,,
Lightblue,Blue,,
Lilac Purple,Purple,,
Lime Green,Green,,
MAROON,Red,,
MAROON RED,Red,,
MERLOT,Red,,
MERLOT RED,Red,,
MOROCCAN BLUE,Blue,,
Magenta,Purple,,
Magenta Pink,Pink,,
Male Black,Black,,
Male Blue,Blue,,
Male Green,Green,,
Male Red,Red,,
Male Yellow,Yellow,,
Merlot,Red,,
Merlot Red,Red,,
Multi,Multicolor,,
NABY BLUE,Blue,,
NATURAL,Tan/Beige,,
NAVY BLUE,Blue,,
NAVY BLUE/ STONE,Blue,Tan/Beige,
NAVY STONE,Blue,,
NAVY/ GOLD,Blue,Gold,
NAVY/ RED,Blue,Red,
NAVY/ WHITE,Blue,White,
NENO FUSHIA,Pink,,
NENO GREEN,Green,,
NENO PINK,Pink,,
NENO YELLOW,Yellow,,
NEON BLUE,Blue,,
NEON GREEN,Green,,
NEON ORANGE,Orange,,
NEON PINK,Pink,,
NEON YELLOW,Yellow,,
Navy,Blue,,
Navy Blue,Blue,,
Nurse,,,
OATMEAL,Tan/Beige,,
OCEN SAGE,Green,,
OLIVE GREEN,Green,,
OLIVE GREEN/ KHAKI,Green,Tan/Beige,
OLIVE STONE,Green,Tan/Beige,
OLIVE/ NAVY,Green,Blue,
ORANGE,Orange,,
ORANGE/ CHARCOAL,Orange,Grey,
Olive Green,Green,,
Orange,Orange,,
Orange / Pumpkin,Orange,,
Orange Translucent,Orange,,
Orion Blue,Blue,,
PINK,Pink,,
PINK CAMO,Pink,,
PURPLE,Purple,,
PURPLE/ GOLD,Purple,Gold,
Peacock Blue,Blue,,
Pearl,White,,
Pink,Pink,,
Pink / Custom,Pink,,
Plaid,,,
Pumpkin Orange,Orange,,
Purple,Purple,,
RED,Red,,
RED LINE,Red,,
RED MERLOT,Red,,
RED STONE,Red,,
RED/ BLACK,Red,Black,
RED/ NAVY,Red,Blue,
RED/ STONE,Red,Tan/Beige,
RED/BLACK,Red,Black,
RED/GOLD,Red,Gold,
REEN CAMO,Green,,
ROYAL BLUE,Blue,,
ROYAL BLUE/ STONE,Blue,Tan/Beige,
ROYAL CAMO,Blue,,
ROYLD/ HEATHER,Blue,Grey,
ROYLD/RED,Blue,Red,
Red,Red,,
Red / Merlot,Red,,
Red Line,Red,,
Red Merlot,Red,,
Red Translucent,Red,,
Red With White,Red,White,
Reflex Blue,Blue,,
Royal Blue,Blue,,
SAFTY YELLOW,Yellow,,
SILVE,Silver,,
SILVER,Silver,,
SILVER GREEN,Silver,Green,
SILVER ORANGE,Silver,Orange,
SILVER RED,Silver,Red,
SKY BLUE,Blue,,
SKYDIVER BLUE,Blue,,
SL,Silver,,
SLIVER,Silver,,
SPRUCE GREEN,Green,,
STONE,Tan/Beige,,
STONE BLACK,Tan/Beige,Black,
STONE NAVY,Tan/Beige,Blue,
Silver,Silver,,
Silver / Blue,Silver,Blue,
Silver / Green,Silver,Green,
Silver / Purple,Silver,Purple,
Silver / Red,Silver,Red,
Silver / Yellow,Silver,Yellow,
Silver Blue,Silver,Blue,
Sliver,Silver,,
Smoke,Grey,,
Stai,Silver,,
Stainless,Silver,,
Stainless Steel,Silver,,
Steel,Silver,,
Surgeon,,,
TAN CAMO,Green,,
TEAL,Blue,,
TEXAS ORANGE,Orange,,
Teal,Blue,,
Turquois,Blue,,
Turquoise,Blue,,
WHITE,White ,,
WHITE BLACK,White,Black,
WHITE NAVY,White ,Blue,
WHITE RED,White,Red,
WHITE ROYAL,White,Blue,
WHITE/ BLACK,White,Black,
WHITE/ NAVY,White,Blue,
WHITE/BLACK,White ,Black,
WORN OLIVE,Green,,
White,White,,
White/Blue Trim,White,Blue,
White/Clear Trim,White,Clear,
White/Red Trim,White,Red,
Wood,Brown,,
YELLOW,Yellow,,
Yellow,Yellow,,
black,Black,,
blue,Blue,,
green,Green,,
orange,Orange,,
red,Red,,
white,White,,
yellow,Yellow,,
